Player,Left Team,Joined Team
Willie Carlin,Liverpool,Halifax Town
Karel Jansen,DHC,SHS
Piet de Zoete,Loosduinen,ADO
Frans van Ernst,WAVV Wageningen,Wageningen
Len Sharpe,Scunthorpe Utd.,Hull City
Len Walker,Spennymoor United,Newcastle
Frank Clark,Crook Town,Newcastle
Joaquín Peiró,Atlético Madrid,AC Torino
Dino Panzanato,Vicenza,Inter
Juan Seminario,Real Zaragoza,Fiorentina
Johnny Byrne,Crystal Palace,West Ham
Willie Stevenson,Rangers,Liverpool
Dave Hilley,Third Lanark,Newcastle
Piet Giesen,Roda Sport,PSV Eindhoven
Gerard Hoenen,Roda Sport,PSV Eindhoven
Bobby Craig,Blackburn,Celtic
Jim Iley,Nottm Forest,Newcastle
Andy Malcolm,Chelsea,QPR
Alan Anderson,Millwall,Scunthorpe Utd.
Tony Richards,Walsall,Port Vale
Derek Reeves,Southampton,Bournemouth
Brian Clifton,Southampton,Grimsby Town
Bert Llewellyn,Port Vale,Northampton
Billy Day,Newcastle,Peterborough
Bobby Rooney,Sheff Utd,Doncaster
Alf Jones,Leeds,Lincoln City
John Wylie,Preston,Stockport
Juan Manuel Villa,Real Madrid,Real Zaragoza
John Harkin,Coleraine,Port Vale
Brian Jackson,Port Vale,Peterborough
Tommy Henderson,St. Mirren,Leeds
Theo Zuijderwijk,Verburch,HVC
Oleksandr Koltsov,Avang. Ternopil,Karpaty
Vladimir Korotaev,Zvezda Perm,Lokomotiv Chel.
Larbi Ben Barek,Stade Français,Atlético Madrid
George Robledo,Barnsley FC,Newcastle
Johnny Downie,Bradford PA,Man Utd
Bobby Mitchell,Third Lanark,Newcastle
Con Martin,Leeds,Aston Villa
Edward Robledo,Barnsley FC,Newcastle
Jim Langley,Guildford City,Leeds
Joe Kennedy,Altrincham,West Brom
Jimmy Woodburn,Newcastle,South Shields
João Tomé,Académico Viseu,SC Covilhã
Johnny Morris,Man Utd,Derby
Peter Pickering,York City,Chelsea
Colin Gibson,Newcastle,Aston Villa
Jim Hernon,Leicester,Bolton
Colin Gibson,Cardiff,Newcastle
Jack McDonald,Bournemouth,Fulham
George Edwards,Birmingham,Cardiff
Doug Lishman,Walsall,Arsenal
Bob Priday,Liverpool,Blackburn
Hugh Billington,Luton,Chelsea
Johnny McNichol,Newcastle,Brighton
Ernie Shepherd,West Brom,Hull City
Tom Aherne,Belfast Celtic,Luton
Tommy Edwards,Southend United,Leicester
Pahiño,Celta de Vigo,Real Madrid
Miguel Muñoz,Celta de Vigo,Real Madrid
Roy Finch,West Brom,Lincoln City
Peter McCoy,Newcastle,Norwich
Jesús Narro,Real Murcia,Real Madrid
Alan Ball,Blackpool,Everton
Rinus Israël,DWS,Feijenoord
Tony Hateley,Aston Villa,Chelsea
George Graham,Chelsea,Arsenal
Terry Venables,Chelsea,Tottenham
John Ritchie,Stoke City,Sheff Wed
Ron Davies,Norwich,Southampton
Emlyn Hughes,Blackpool,Liverpool
Bobby Chalmers,Durban City,Durban United
Ruud Geels,Telstar,Feijenoord
Alan Skirton,Arsenal,Blackpool
Gordon Banks,Leicester,Stoke City
Silva Batuta,Flamengo,Barcelona
Alan Suddick,Newcastle,Blackpool
Derek Dougan,Leicester,Wolves
Şenol Birol,Fenerbahce,Karsiyaka
Ian Gibson,Middlesbrough,Coventry
Alex Stepney,Chelsea,Man Utd
Barry Hole,Cardiff,Blackburn
Marcial Pina,Elche CF,Español
Alex Stepney,Millwall,Chelsea
Allan Harris,Coventry,Chelsea
Hans Schulz,Werder Bremen,Hamburger SV
Colin Addison,Nottm Forest,Arsenal
John Connelly,Man Utd,Blackburn
Barry Lyons,Rotherham,Nottm Forest
Kadri Aytaç,Galatasaray,Mersin IY
Dick 'Sportje' Bond,Volendam,Telstar
Wim Wolbers,PSV Eindhoven,FC Den Bosch
Willie Wallace,Heart of Midl.,Celtic
Hugh Fisher,Blackpool,Southampton
George Eastham,Arsenal,Stoke City
Co Prins,Ajax,Pittsburgh Ph.
John Talbut,Burnley,West Brom
Dennis Bond,Watford,Tottenham
John Woodward,Stoke City,Aston Villa
John Byrom,Blackburn,Bolton
Bert Murray,Chelsea,Birmingham
Eddy Koens,PSV Eindhoven,Sint-Truiden
