Player,Left Team,Joined Team
Valeri Domovchiyski,Levski Sofia,Hertha BSC
Roque Júnior,MSV Duisburg,Al-Rayyan SC
Roberto De Zerbi,Napoli,Brescia
Thomas Kleine,Greuther Fürth,Hannover 96
Alexandre Goulart,Ipatinga FC,Unknown
Konstantinos Charalampidis,Panathinaikos,Carl Zeiss Jena
Emre Toraman,K. Erciyesspor,C. Rizespor
Cyril Théréau,RSC Anderlecht,R Charleroi SC
Juan Pablo Pino,Monaco,R Charleroi SC
Reinaldo,Manisaspor,Grêmio
Jean,Saturn Ramenskoe,Grêmio
Makelele,Palmeiras,Grêmio
Marcel,Benfica,Grêmio
Francisco Lima,Brescia,San Jose
Betão,Corinthians,Santos
Takis Fyssas,Heart of Midl.,Panathinaikos
Ianis Zicu,Inter,FC Dinamo
Romano Denneboom,NEC Nijmegen,Twente FC
Xavier Margairaz,FC Zürich,CA Osasuna
Massimo Bonanni,Sampdoria,Bari
Leandro Grimi,AC Milan,Sporting CP
David Cotterill,Wigan,Sheff Utd
Gary Cahill,Aston Villa,Sheff Utd
Jlloyd Samuel,Aston Villa,Bolton
Lee Cook,Fulham,Charlton
Nicky Weaver,Man City,Charlton
Vladimir Manchev,Celta de Vigo,Real Valladolid
Simone Del Nero,Brescia,Lazio
Mauro Cetto,FC Nantes,Toulouse
Jerzy Dudek,Liverpool,Real Madrid
Thomas Röll,FC Midtjylland,Vejle BK
Timothy Dreesen,Club Brugge,Sint-Truiden
Reinaldo,Manisaspor,Botafogo
Aristide Bancé,Metalurg D.,Germ. Beerschot
Hervé Nzelo-Lembi,Metalurg D.,Germ. Beerschot
Cenk İşler,K. Erciyesspor,Antalyaspor
Samuel Kuffour,AS Roma,Ajax
Steve Sidwell,Reading,Chelsea
Nenad Djordjevic,JEF Utd. Chiba,Partizan
Stephen Bywater,Derby,Ipswich
Antônio Carlos,AC Ajaccio,Atlético-PR
Adam Petrous,Ankaraspor,Slovan Liberec
Andreas Granqvist,Wigan,Helsingborgs IF
Brett Ormerod,Preston,Nottm Forest
Stéphane Dalmat,G. Bordeaux,FC Sochaux
Fabrice Pancrate,Paris SG,FC Sochaux
Cláudio Caçapa,Olympique Lyon,Newcastle
Michele Paolucci,Udinese,Atalanta BC
Emre Toraman,C. Rizespor,Eskisehirspor
Darío Rodríguez,FC Schalke 04,Peñarol
Murat Erdoğan,Sakaryaspor,Ankaragücü
Ian Murray,Norwich,Hibernian FC
Giannis Okkas,Olympiacos,Celta de Vigo
Eric Djemba Djemba,Aston Villa,Qatar SC
Lukas Zelenka,Manisaspor,KVC Westerlo
Jajá,Getafe,KVC Westerlo
Bostjan Cesar,Marseille,West Brom
Miikka Multaharju,Fredrikstad,HJK Helsinki
Cristian Bucchi,Napoli,Bologna
Chris Perry,West Brom,Luton
Kevin Lisbie,Charlton,Colchester Utd.
Cláudio Pitbull,FC Porto,Vitória Setúbal
Ifeanyi Udeze,Bendel Ins.,PAOK Salonika
Ian Murray,Rangers,Norwich
Stanislav Varga,Sunderland,Burnley
Yann Lachuer,Troyes,LB Châteauroux
Álvaro Antón,Real Valladolid,Racing Ferrol
Jaime Júnior,SC Braga,Racing Ferrol
Freddy Grisales,CA Colon,Independiente
Pascal Bosschaart,Feyenoord,ADO Den Haag
Nicolás Cabrera,Racing Club,Newell's
André Pinto,Kyoto Sanga,Marítimo
Bruno Cirillo,Levante,Reggina
Leandro Grimi,AC Milan,AC Siena
Cristian Bucchi,Napoli,AC Siena
Pena,Confiança,Petrópolis
Corrado Grabbi,Arezzo,AC Bellinzona
Leandro Domingues,Cruzeiro,EC Vitória
Alex Calderoni,Atalanta BC,Treviso
Martin Kamburov,Al-Ahli SC,Loko Plovdiv
Jonathan Téhoué,Kasimpasa,Konyaspor
Veysel Cihan,Gaziantepspor,Konyaspor
Devran Ayhan,Ankaragücü,Sivasspor
Mohamed Kallon,Al-Hilal,AEK Athens
Dodô,Botafogo,Fluminense
Darío Conca,River Plate,Fluminense
Taner Demirbaş,Malatyaspor,Sakaryaspor
Giorgio Corona,Catania,Mantova
Pedro Contreras,Real Betis,Cádiz CF
Émerson,AEK Athens,APOEL Nicosia
Gökhan Tokgöz,Genclerbirligi,Ankaraspor
Tayfun Türkmen,Konyaspor,Ankaraspor
Ofir Haim,Maccabi Netanya,H. Beer Sheva
Iriney,Celta de Vigo,UD Almería
Bruno Cirillo,AEK Athens,Levante
Miguel Ángel,Real Betis,Levante
Paul Butler,MK Dons,Chester City
Lukasz Sosin,Apol. Limassol,Anorthosis
Rafael Márquez Lugo,Monarcas Morelia,Pachuca
Nicola Beati,Inter,Arezzo
Takayuki Suzuki,Yokohama F. M.,Portland
Andrea Lazzari,Atalanta BC,Grosseto
Marcelo Sosa,Nacional,UAG Tecos
Émerson,APOEL Nicosia,Madureira
Sebastián Rozental,M. Petah Tikva,Maccabi Netanya
Jardel,Anorthosis,Newcastle
Juanmi,Real Murcia,Gimnàstic
Adem Dursun,Genclerbirligi,K. Erciyesspor
Vioresin Sinani,KF Tirana,KF Vllaznia
Silva,Suwon Bluewings,Alki Larnaca
Clarence Acuña,Union Española,Cobreloa
Fatih Akyel,Genclerbirligi,Kasimpasa
Bogdan Vintilă,FC Arges,Concordia
Sávio,Levante,Desportiva-ES
Albert Meyong,Levante,Belenenses
Paolo Dellafiore,US Palermo,Torino
Colin Kazım-Richards,Sheff Utd,Fenerbahce
Yassine Chikhaoui,ES Sahel,FC Zürich
Per Nilsson,Odd Grenland,TSG Hoffenheim
Arnold Mvuemba,Stade Rennais,Portsmouth
Liam Rosenior,Fulham,Reading
Lucas Barrios,Cobreloa,Atlas
Tomas Hrdlicka,Slavia Prague,Mlada Boleslav
Germán Herrera,Gimnasia,Corinthians
Pierre Ebéde,Panathinaikos,FC Metz
Svetoslav Todorov,Portsmouth,Charlton
Paulo Wanchope,FC Tokyo,Chicago
Sander Westerveld,UD Almería,Sparta R.
Rodrigo Díaz,Toluca,CA Colon
Elie Kroupi,Arezzo,APO Levadiakos
Elie Kroupi,AS Nancy,Arezzo
Leonardo Ulloa,San Lorenzo,Olimpo
Zdenek Pospech,Sparta Prague,FC Copenhagen
Leonel Núñez,Argentinos Jrs.,Olympiacos
Daniele Gastaldello,Juventus,Sampdoria
Daniele Gastaldello,AC Siena,Juventus
Mario Tokic,Austria Vienna,Rapid Vienna
Eugenio Corini,US Palermo,Torino
Ferrugem,AC Ajaccio,R. Strasbourg
Sergen Yalçın,Etimesgut Seker,Eskisehirspor
Marco Borriello,AC Milan,Genoa
Edcarlos,São Paulo,Benfica
Leon Cort,Crystal Palace,Stoke City
Hiroki Mizumoto,JEF Utd. Chiba,Gamba Osaka
Jimmy Kébé,RC Lens B,Reading
Sunny,Poli Ejido,Valencia
Cristian Llama,Arsenal Sarandí,Catania
Gonzalo Bergessio,Benfica,San Lorenzo
Zelão,Corinthians,Saturn Ramenskoe
Felipe Melo,Racing,UD Almería
Youssef Mohamad,SC Freiburg,1.FC Köln
Grzegorz Bronowicki,Legia Warszawa,Red Star
Balazs Borbely,Petrzalka,Poli Timișoara
Andre Mijatovic,Greuther Fürth,Arm. Bielefeld
Andy Todd,Blackburn,Derby
Santiago Raymonda,Arsenal Sarandí,Tiburones Rojos
Kevin McKenna,Energie Cottbus,1.FC Köln
Sascha Rösler,Alem. Aachen,Bor. M'gladbach
Benjamin Huggel,E. Frankfurt,FC Basel
Fabián Estoyanoff,Valencia,Real Valladolid
Fredy Guarín,Envigado,Saint-Étienne
Almami Moreira,Desportivo Aves,Partizan
Darren Ward,Crystal Palace,Wolves
Bruno N'Gotty,Birmingham,Leicester
David Aganzo,Racing,Alavés
Hervé Tum,R. Strasbourg,Bursaspor
Ergün Teber,K. Erciyesspor,C. Rizespor
Antoñito,Sevilla FC,Xerez CD
Jeanvion Yulu-Matondo,Club Brugge,Roda JC
Chicão,Figueirense FC,Corinthians
David Navarro,Valencia,RCD Mallorca
Tuta,Figueirense FC,São Caetano
André Luis,Cruzeiro,Botafogo
Julio Hernán Rossi,FC Nantes,Neuchâtel Xamax
Juanma Delgado,Dep. La Coruña,CD Tenerife
Ergün Teber,C. Rizespor,Genclerbirligi
Ronan Le Crom,Troyes,Lens
Michael Ricketts,Oldham Athletic,Walsall
Tamer Tuna,Gaziantepspor,Istanbulspor
Adaílton,Genoa,Bologna
Claudio Bellucci,Bologna,Sampdoria
Kiki Musampa,Trabzonspor,AZ Alkmaar
Ivica Iliev,Messina Peloro,PAOK Salonika
Burak Yılmaz,Besiktas,Manisaspor
Giacomo Tedesco,Reggina,Catania
Edgaras Jankauskas,Heart of Midl.,AEK Larnaca
Neil Lennon,Nottm Forest,Wycombe
Bryan Hughes,Charlton,Hull City
Franco Cángele,Sakaryaspor,Kayserispor
Leandro,São Paulo,Tokyo Verdy
Tuta,Grêmio,Figueirense FC
Aníbal Matellán,Gimnàstic,Arsenal Sarandí
David Ferreira,Atlético-PR,Al-Shabab
Edgaras Jankauskas,AEK Larnaca,Belenenses
David Sommeil,Sheff Utd,Valenciennes FC
Dayro Moreno,Once Caldas,Steaua Bucharest
Dusan Djokic,Red Star,Club Brugge
Julio Cáceres,Tigres UANL,Boca Juniors
Cristian Ledesma,San Lorenzo,Olympiacos
Stephen Clemence,Birmingham,Leicester
Mihăiță Pleșan,Poli Timișoara,Steaua Bucharest
Kennedy,Twente FC,Ajax
Richard Cresswell,Leeds,Stoke City
Jiri Jarosik,Celtic,KS Samara
Orkun Uşak,K. Erciyesspor,Galatasaray
Christian Bassila,AE Larisa,Energie Cottbus
Félix Borja,Olympiacos,1.FSV Mainz 05
Viktor Budyanskiy,Udinese,Lecce
Vaclav Drobny,Sparta Prague,FC Augsburg
Valéry Mézague,FC Sochaux,Le Havre AC
Jacek Bak,Al-Rayyan SC,Austria Vienna
Vratislav Gresko,1.FC Nuremberg,B. Leverkusen
Heath Pearce,Nordsjaelland,Hansa Rostock
Christian Timm,Greuther Fürth,Karlsruher SC
Rodrigo Tello,Sporting CP,Besiktas
Álvaro Mejía,Real Madrid,Real Murcia
Hans Jörg Butt,B. Leverkusen,Benfica
Marco Zoro,Messina Peloro,Benfica
Marquinhos,Iraty,Atlético-MG
Cyril Jeunechamp,Stade Rennais,OGC Nice
Dwight Tiendalli,Feyenoord,Sparta R.
Jay Bothroyd,Wolves,Stoke City
Stephen Pearson,Derby,Stoke City
Hasan Yiğit,Bursaspor,Denizlispor
Vladimir Manchev,Real Valladolid,Celta de Vigo
Rab Douglas,Leicester,Millwall
Graham Kavanagh,Sunderland,Sheff Wed
Lasse Nilsson,Saint-Étienne,Aalborg BK
Izale McLeod,Charlton,Colchester Utd.
Vasilios Lakis,AEK Athens,PAOK Salonika
Serge Dié,K. Erciyesspor,AC Ajaccio
Martín Romagnoli,Racing Club,Toluca
Marquinhos,Iraty,Avaí FC
Burak Özsaraç,Manisaspor,Konyaspor
Ivaylo Petkov,Ankaragücü,Kuban Krasnodar
Gabriel,Málaga CF,Fluminense
Kamil Kosowski,Wisla Kraków,Cádiz CF
Rab Douglas,Leicester,Wycombe
Rolando Zárate,River Plate,Barcelona SC
Levent Kartop,Antalyaspor,Adana Demirspor
Serdal Boyraz,Etimesgut Seker,Izmirspor
Paulinho,AS Livorno,Grosseto
Roberto Jiménez,San Lorenzo,Universitario
César Martín,Bolton,Hércules CF
Biula,Nova Iguaçu-RJ,Portuguesa-RJ
Gordon Schildenfeld,Dinamo Zagreb,Besiktas
Wayne Thomas,Burnley,Southampton
Dejan Stefanovic,Portsmouth,Fulham
Marko Lomic,Partizan,TuS Koblenz
Pawel Golanski,Korona Kielce,Steaua Bucharest
Tosin Dosunmu,AS Nancy,Germ. Beerschot
Vladimir Gabulov,Kuban Krasnodar,Amkar Perm
Cihan Haspolatlı,Galatasaray,Bursaspor
Abdoulay Konko,AC Siena,Genoa
Abel Xavier,Middlesbrough,Los Angeles
Miguelito,Benfica,SC Braga
Alin Stoica,KAA Gent,Exc. Mouscron
Pablo Batalla,Vélez Sarsfield,Quilmes
Takashi Fukunishi,FC Tokyo,Tokyo Verdy
Ferit Alper Salgın,Kasimpasa,Adana Demirspor
Luciano Leguizamón,Gimnasia,Arsenal Sarandí
Ionel Ganea,Rapid Bucharest,Poli Timișoara
Esteban González,CA Colon,UD Las Palmas
Izale McLeod,MK Dons,Charlton
Paraskevas Antzas,Skoda Xanthi,Olympiacos
Francesco Cozza,AC Siena,Reggina
Ionut Rada,Rapid Bucharest,Steaua Bucharest
Jon Jönsson,Elfsborg,Toulouse
Bojan Jokic,ND Gorica,FC Sochaux
Emra Tahirovic,Halmstads BK,LOSC Lille
Aleksandr Orekhov,Kuban Krasnodar,Rubin Kazan
Obiora Odita,Partizan,Al-Ain FC
Fabio Coltorti,Grasshoppers,Racing
Nebojsa Marinkovic,Partizan,Iraklis
Ali Güneş,Besiktas,SC Freiburg
Erman Güraçar,Denizlispor,Kocaelispor
Carlos Bueno,Paris SG,Boca Juniors
Germán Lux,River Plate,RCD Mallorca
Fabien Boudarène,Dijon,Litex Lovech
Stuart Parnaby,Middlesbrough,Birmingham
Arturo Lupoli,Arsenal,Fiorentina
İlhan Özbay,K. Erciyesspor,Gaziantepspor
Manuel Belleri,Lazio,Atalanta BC
Obiora Odita,Al-Ain FC,KVC Westerlo
Arjan de Zeeuw,Wigan,Coventry
Nebojsa Marinkovic,Partizan,Djurgården
Édgar Álvarez,AS Roma,AS Livorno
Davide Biondini,Reggina,Cagliari Calcio
Mario Salgado,Foggia,Avellino
Musa Aydın,Sakaryaspor,Sivasspor
Fredrik Risp,Trabzonspor,Ankaraspor
Demetrius Ferreira,Troyes,Al-Rayyan SC
Fabien Boudarène,Litex Lovech,U Cluj
Tozo,Genclerbirligi,GB Oftasspor
Hugo Campagnaro,Piacenza,Sampdoria
Sergio Floccari,Messina Peloro,Atalanta BC
Jacques Abardonado,OGC Nice,1.FC Nuremberg
Benny Feilhaber,Hamburger SV,Derby
Dan Gosling,Plymouth,Everton
Fabian Lustenberger,FC Luzern,Hertha BSC
Steve von Bergen,FC Zürich,Hertha BSC
Diego Benaglio,Nacional,VfL Wolfsburg
Alexander Laas,Hamburger SV,VfL Wolfsburg
Javier Paredes,Getafe,Real Zaragoza
Rune Jarstein,Odd Grenland,Rosenborg
Russell Anderson,Aberdeen FC,Sunderland
Laszlo Sepsi,Gloria Bistrita,Benfica
Freddy Adu,Salt Lake,Benfica
Kristian Bach Bak,FC Midtjylland,Heerenveen
Gary Naysmith,Everton,Sheff Utd
Barry Robson,Dundee United,Celtic
Marco Bernacci,Mantova,Ascoli
Paolo Zanetti,Ascoli,Torino
Mario Mandžukić,NK Zagreb,Dinamo Zagreb
Ryan Shawcross,Man Utd Res.,Stoke City
David Gigliotti,Monaco,Saint-Étienne
Lee Trundle,Swansea,Bristol City
Leandro Lima,São Caetano,FC Porto
Jean-Michel Lesage,AJ Auxerre,Le Havre AC
Sébastien Grax,Monaco,FC Sochaux
Nicolas Maurice-Belay,Monaco,FC Sochaux
Ivan Radovanovic,Partizan,Atalanta BC
Pelé,Southampton,West Brom
Ishmael Miller,Man City,West Brom
Kalifa Cissé,Boavista,Reading
André Bikey,Loko Moscow,Reading
Nikola Gulan,Fiorentina,Sampdoria
Rowan Vine,Birmingham,QPR
Nico Pulzetti,Hellas Verona,AS Livorno
Kris Stadsgaard,Nordsjaelland,Reggina
Djiby Fall,Randers FC,Al-Ain FC
Sergey Budylin,Rubin Kazan,KS Samara
Caleb Folan,Wigan,Hull City
Guilherme Santos,Vasco da Gama,UD Almería
Kandia Traoré,Le Havre AC,Al-Nasr SC
Éder,FC Empoli,Frosinone
Gilles Sunu,LB Châteauroux U19,Arsenal Res.
Vladimir Yurchenko,Dinamo Minsk,Saturn II
César,FC Zürich,Al-Ahli (UAE)
Rodri,CF Rayo Majadaho,Atléti Youth
Sammir,Atlético-PR,Dinamo Zagreb
Mikkel Thygesen,Bor. M'gladbach,FC Midtjylland
Claudio Maldonado,Santos,Fenerbahce
Luis Yanes,Indep. Santa Fe,LOSC Lille
Lars Hirschfeld,Rosenborg,CFR Cluj
Djiby Fall,Al-Ain FC,Odense BK
Nino,Levante,CD Tenerife
Mirko Hrgovic,Hajduk Split,JEF Utd. Chiba
Bartosz Slusarski,Grodzisk,West Brom
Wesley Sonck,Bor. M'gladbach,Club Brugge
Adil Ramzi,Roda JC,Al-Wakrah SC
Julio dos Santos,Bayern Munich,UD Almería
Nick Carle,Genclerbirligi,Bristol City
Benjamin Lauth,Hamburger SV,Hannover 96
David Hellebuyck,Paris SG,OGC Nice
Ricky van den Bergh,RKC Waalwijk,Heracles Almelo
Moretto,Benfica,AEK Athens
Sixto Peralta,River Plate,CFR Cluj
Florin Bratu,FC Nantes,FC Dinamo
Sergiy Rebrov,Dynamo Kyiv,Rubin Kazan
Christian Tiffert,RB Salzburg,MSV Duisburg
Charles Kaboré,Lib.-St.-Seurin,Marseille
Bernardo Romeo,CA Osasuna,San Lorenzo
Jaromir Blazek,Sparta Prague,1.FC Nuremberg
Sascha Riether,SC Freiburg,VfL Wolfsburg
David Luiz,EC Vitória,Benfica
Abdurrahman Dereli,Ankaragücü,Sivasspor
Tamás Hajnal,1.FC K'lautern,Karlsruher SC
Arkadiusz Malarz,Skoda Xanthi,Panathinaikos
Piá,Napoli,Treviso
Collins Mbesuma,Portsmouth,Bursaspor
Bo Svensson,Bor. M'gladbach,1.FSV Mainz 05
Rafal Grzelak,Pogon Szczecin,Boavista
Joseph Enakarhire,Dinamo Moscow,Panathinaikos
Essam El Hadary,El Ahly,FC Sion
Jürgen Macho,1.FC K'lautern,AEK Athens
Rafal Grzelak,Boavista,Skoda Xanthi
Marat Izmailov,Loko Moscow,Sporting CP
Nick Carle,Sydney Olympic,Genclerbirligi
Ricardo Fernandes,APOEL Nicosia,Metalurg D.
Gledson,VfB Stuttgart,Hansa Rostock
Ramires,Joinville-SC,Cruzeiro
Yoann Poulard,Stade Brestois,FC Nantes
Isaac Boakye,VfL Wolfsburg,1.FSV Mainz 05
Cornel Frăsineanu,Bursaspor,UTA Arad
Piá,Napoli,Catania
Lars Jacobsen,FC Copenhagen,1.FC Nuremberg
Roy Carroll,Rangers,Derby
Stathis Aloneftis,AE Larisa,Energie Cottbus
Miroslav Karhan,VfL Wolfsburg,1.FSV Mainz 05
Sérgio da Silva Pinto,Alem. Aachen,Hannover 96
Vladimir Smicer,G. Bordeaux,Slavia Prague
Markus Schroth,1.FC Nuremberg,1860 Munich
Oleksiy Belik,Shakhtar D.,VfL Bochum
Makoto Hasebe,Urawa Reds,VfL Wolfsburg
Ashkan Dejagah,Hertha BSC,VfL Wolfsburg
Rüştü Reçber,Fenerbahce,Besiktas
Lamine Diatta,Saint-Étienne,Besiktas
Ahmet Dursun,Ankaragücü,Kocaelispor
Christian Dailly,West Ham,Rangers
Metin Aktaş,Diyarbakirspor,C. Rizespor
Joonas Kolkka,Feyenoord,NAC Breda
Radomir Djalovic,K. Erciyesspor,HNK Rijeka
Murat Duman,Sakaryaspor,Samsunspor
César Arzo,Villarreal,Real Murcia
Curro Torres,Valencia,Real Murcia
Chris Perry,Luton,Southampton
Grégory Vignal,Lens,Southampton
Christian Dailly,West Ham,Southampton
Alessandro,Santos,Corinthians
Roger,Corinthians,Grêmio
Amaral,Vasco da Gama,Grêmio
Alessandro,Dynamo Kyiv,Santos
Muhammet Akagündüz,Hellas Verona,SV Ried
Sammy Traoré,Paris SG,AJ Auxerre
Cristian Rodríguez,Paris SG,Benfica
Andrés Mendoza,Metalurg D.,Steaua Bucharest
Paíto,RCD Mallorca,FC Sion
José Castillo,UAG Tecos,Atlético-MG
Martín Astudillo,Alavés,CA Osasuna
Jeff Strasser,R. Strasbourg,FC Metz
Tony Warner,Fulham,Barnsley FC
Olivier Renard,Standard Liège,KV Mechelen
Gérald Cid,G. Bordeaux,Bolton
Semedo,Cagliari Calcio,Charlton
Bartholomew Ogbeche,Alavés,Real Valladolid
Maikel Aerts,Feyenoord,Willem II
Danny Mathijssen,AZ Alkmaar,Willem II
Daniele Di Donato,Arezzo,Ascoli
Salim Arrache,Marseille,Toulouse
Gérald Cid,Bolton,OGC Nice
Patrick Barul,Lens,OGC Nice
Igor Tudor,Juventus,Hajduk Split
Tamás Priskin,Watford,Preston
Kevin Bobson,Willem II,NEC Nijmegen
Olaf Lindenbergh,Ajax,Sparta R.
Volkan Arslan,Ankaraspor,Gaziantepspor
Michael Gray,Blackburn,Wolves
Aytekin Viduşlu,Ankaragücü,Antalyaspor
Ronaldo,Santos,Aris Saloniki
Vladimir Ivic,AEK Athens,Aris Saloniki
Rodri,Dep. La Coruña,Poli Ejido
Carlinhos,Santos,Cruzeiro
Diego Gavilán,Grêmio,Flamengo
Marcinho,Ipatinga FC,Flamengo
Dininho,Palmeiras,Flamengo
Roger,Corinthians,Flamengo
Jorge López,Valencia,Racing
Stephan Keller,RKC Waalwijk,De Graafschap
Sylvain N'Diaye,Levante,CD Tenerife
Fabian Gerber,1.FSV Mainz 05,OFI Crete FC
Wason Rentería,FC Porto,R. Strasbourg
Nikola Gulan,Fiorentina,Partizan
Shefki Kuqi,Crystal Palace,Ipswich
Nacho,Getafe,Real Sociedad
Andrija Delibasic,RCD Mallorca,Real Sociedad
Iñaki Lafuente,Athletic,Espanyol
Lionel Mathis,AJ Auxerre,FC Sochaux
Ferdinando Coppola,AC Milan,Atalanta BC
Diego De Ascentis,Torino,Atalanta BC
Tomas Jun,Trabzonspor,Teplice
Hakan Bayraktar,Malatyaspor,Diyarbakirspor
Ahmet Dursun,Antalyaspor,Ankaragücü
İbrahim Ege,Denizlispor,Ankaragücü
Augustine Ahinful,Okwawu United,Ankaragücü
Ángel Lafita,Real Zaragoza,Dep. La Coruña
Cem Karaca,Sivasspor,Istanbulspor
Kasey Keller,Bor. M'gladbach,Fulham
Ivan Levenets,Amkar Perm,Loko Moscow
Juan Manuel Peña,Villarreal,Celta de Vigo
Marcos Paulo,Portuguesa,Yokohama FC
Roman Shirokov,Khimki,Zenit S-Pb
Ali Karimi,Bayern Munich,Qatar SC
Leandro Bonfim,FC Porto,Vasco da Gama
Calum Davenport,West Ham,Watford
Alex Mineiro,Atlético-PR,Palmeiras
Dino Fava,Treviso,Bologna
Bruno Urribarri,Boca Juniors,Argentinos Jrs.
Bartosz Slusarski,West Brom,Sheff Wed
Bob Malcolm,Derby,QPR
Sebastián Eguren,Hammarby,Villarreal
Adam Virgo,Celtic,Colchester Utd.
Celestine Babayaro,Newcastle,Los Angeles
Marcos Paulo,Yokohama FC,Shimizu S-Pulse
Zé Manuel,Boavista,SC Braga
Hélder Rosário,Boavista,Málaga CF
Paulo Jorge,Benfica,Málaga CF
Bruno Herrero,Real Murcia,UD Salamanca
David Català,Lorca Deportiva,UD Salamanca
Janne Hietanen,AC Oulu,Troyes
Nicolás Medina,CA Talleres,Gimnasia
John Hartson,West Brom,Norwich
Omar Ortiz,Jaguares,Necaxa
Anthony Le Tallec,Liverpool,Le Mans UC 72
Bartosz Slusarski,West Brom,Blackpool
Matt Moussilou,OGC Nice,Al-Arabi SC
Murat Duman,Samsunspor,Malatyaspor
Pavol Straka,Antalyaspor,FK Jablonec
Stefano Okaka,AS Roma,Modena
Emmanuel Cascione,Rimini,Reggina
Blaise Kouassi,Al-Rayyan SC,Angers SCO
Djamel Belmadi,Southampton,Valenciennes FC
Daniele Paponi,Parma,Cesena
Walter Baseggio,RSC Anderlecht,Exc. Mouscron
Alp Küçükvardar,Türk Telekom,Dardanelspor
Pedrinho,Santos,Al-Ain FC
Lamberto Zauli,Bologna,Cremonese
Arturo Lupoli,Fiorentina,Treviso
Giuseppe Scurto,Chievo Verona,Treviso
Murat Bölükbaş,Boluspor,Altay SK
Joseph Elanga,Bröndby IF II,AC Horsens
Gustavo Nery,Corinthians,Fluminense
Burak Akdiş,Bursaspor,Sakaryaspor
Moisés Moura,Cruzeiro,Boavista
Maciel,FC Porto,Leiria
Roger Gaúcho,Internacional,Náutico
Diego Rivas,Real Sociedad,Cádiz CF
Benoît Angbwa,KS Samara,Saturn Ramenskoe
Ivan Gvozdenovic,FC Dinamo,Metalurg D.
Pius Ikedia,AZ Alkmaar,Metalurg D.
Erhan Albayrak,C. Rizespor,Ankaraspor
Emre Aşık,Galatasaray,Ankaraspor
Mamadou Seck,Sheff Utd,Scunthorpe Utd.
Neil Clement,West Brom,Hull City
Henrik Pedersen,Bolton,Hull City
Richard García,Colchester Utd.,Hull City
Fabián Yantorno,Miramar,Gretna FC
Georgios Anatolakis,Olympiacos,Atromitos
Alioum Saidou,FC Nantes,Kayserispor
Moussa N'Diaye,AJ Auxerre,Al-Rayyan SC
Marcinho,Atlético-MG,Ipatinga FC
Oleksandr Melashchenko,Dnipro,Kryvbas
Francisco Rodríguez,UD Almería,Granada 74
Nam-il Kim,Suwon Bluewings,Vissel Kobe
Rafael Márquez Lugo,Pachuca,UAG Tecos
Ilias Kotsios,Panathinaikos,AE Larisa
Ramazan Tunç,Ankaraspor,Etimesgut Seker
Claudiu Răducanu,Sorrento,U Cluj
Alp Küçükvardar,Dardanelspor,Karagümrük
José Castillo,UAG Tecos,Bolívar
İlyas Kahraman,Antalyaspor,Büyüksehir Bld
Denys Onyshchenko,Zorya Lugansk,Illichivets
Mikael Dorsin,Rosenborg,CFR Cluj
Paulo Miranda,Coritiba FC,Juventus-SP
Saliou Lassissi,AC Bellinzona,Entente SSG
Alessandro Soares,Anorthosis,Alki Larnaca
Chaínho,Nacional,Alki Larnaca
Peter,Grêmio,Sport Recife
Luis Miguel Escalada,Botafogo,LDU Quito
Nelson Cuevas,América,Libertad
Claudiu Răducanu,Nea Salamis,Sorrento
Dmitriy Borodin,Torpedo Moskau,Sibir
Luis Miguel Escalada,LDU Quito,Gimnasia (J)
Laurent Robert,Derby,Toronto
Cornel Frăsineanu,UTA Arad,CS Dacia Mioveni
Alexandre Rotweiller,Corinthians-AL,CRB
José Castillo,UAG Tecos,O'Higgins
Roberto Silva,Alianza Lima,U. San Martín
Marcelo Méndez,Peñarol,Junior FC
Dani García,Denizlispor,R. Majadahonda
Lee Roche,Liffeys Pearse,Droylsden
Yuriy Dmytrulin,Dynamo Kyiv II,Yednist
Jorge Ortiz,San Lorenzo,AIK
Sergio Romero,Racing Club,AZ Alkmaar
Alexis Ferrero,Tigre,Botafogo
McDonald Mariga,Helsingborgs IF,Parma
Antonio Langella,Cagliari Calcio,Atalanta BC
Gastón Filgueira,Arsenal Sarandí,Nacional
Cristian Pellerano,Racing Club,Arsenal Sarandí
Gökhan Gönül,Genclerbirligi,Fenerbahce
Santos,UC AlbinoLeffe,Genoa
Marcos António,Gil Vicente,AJ Auxerre
Djordje Rakic,OFK Beograd,RB Salzburg
Juan Carlos Valenzuela,Atlas,UAG Tecos
Jorge Achucarro,Cerro Porteño,Atlas
Paolo Bianco,Catania,Cagliari Calcio
João Paulo,Leiria,Rapid Bucharest
Thomas Kleine,Hannover 96,Bor. M'gladbach
Patrick Paauwe,Valenciennes FC,Bor. M'gladbach
Daniel Bierofka,VfB Stuttgart,1860 Munich
Guglielmo Stendardo,Lazio,Juventus
Michael Thurk,E. Frankfurt,FC Augsburg
Mohamadou Idrissou,MSV Duisburg,SC Freiburg
Giannis Skopelitis,Anorthosis,Atromitos
Can Cumhur Bozacı,Bursaspor,C. Rizespor
Rodrigo Archubi,Lanús,River Plate
Emilian Dolha,Wisla Kraków,Lech Poznan
Thomas Myhre,Charlton,Viking
Ștefan Radu,FC Dinamo,Lazio
Darl Douglas,Marítimo,Willem II
Andrzej Niedzielan,NEC Nijmegen,Wisla Kraków
Srdjan Andric,Panathinaikos,Hajduk Split
Celaleddin Koçak,Trabzonspor,Manisaspor
Karim Saïdi,Feyenoord,Sivasspor
